,round_log_date,round_departure_date,Route,Price,AL
4,2018-07-08,2018-08-21,MHDTHR,3663000,1
5,2018-07-08,2018-08-22,MHDTHR,3663000,1
6,2018-07-08,2018-08-23,MHDTHR,3663000,1
7,2018-07-08,2018-08-23,THRMHD,3663000,1
8,2018-07-29,2018-08-13,THRMHD,3378000,1
9,2018-07-29,2018-08-14,MHDTHR,3378000,1
10,2018-07-29,2018-08-14,THRMHD,3176000,1
11,2018-07-29,2018-08-16,MHDTHR,3378000,1
12,2018-07-29,2018-08-16,THRMHD,3378000,1
13,2018-07-29,2018-08-17,MHDTHR,2826000,1
14,2018-07-29,2018-08-17,THRMHD,3378000,1
15,2018-07-29,2018-08-20,THRMHD,3663000,1
16,2018-07-29,2018-08-21,MHDTHR,3378000,1
17,2018-07-29,2018-08-21,THRMHD,3176000,1
18,2018-07-29,2018-08-22,MHDTHR,2826000,1
19,2018-07-29,2018-08-23,MHDTHR,3663000,1
20,2018-07-30,2018-08-14,MHDTHR,2826000,1
21,2018-07-30,2018-08-30,THRMHD,5465000,1
22,2018-07-30,2018-09-21,THRMHD,3663000,1
23,2018-07-31,2018-08-16,MHDTHR,2826000,1
24,2018-07-31,2018-08-17,THRMHD,2826000,1
25,2018-07-31,2018-08-20,THRMHD,3378000,1
26,2018-07-31,2018-08-21,MHDTHR,2826000,1
27,2018-07-31,2018-08-23,THRMHD,3663000,1
28,2018-07-31,2018-08-25,THRMHD,3663000,1
29,2018-07-31,2018-08-26,THRMHD,3663000,1
30,2018-07-31,2018-08-30,MHDTHR,3663000,1
31,2018-07-31,2018-08-31,MHDTHR,3663000,1
32,2018-07-31,2018-08-31,THRMHD,3663000,1
33,2018-07-31,2018-09-01,THRMHD,3663000,1
34,2018-07-31,2018-09-02,THRMHD,3663000,1
35,2018-07-31,2018-09-05,MHDTHR,3663000,1
36,2018-07-31,2018-09-15,THRMHD,3663000,1
37,2018-07-31,2018-09-16,THRMHD,3663000,1
38,2018-07-31,2018-09-19,MHDTHR,3663000,1
39,2018-07-31,2018-09-20,MHDTHR,3663000,1
40,2018-07-31,2018-09-20,THRMHD,3663000,1
41,2018-07-31,2018-09-21,MHDTHR,3663000,1
42,2018-07-31,2018-09-21,THRMHD,3663000,1
43,2018-07-31,2018-09-22,THRMHD,3663000,1
44,2018-08-01,2018-08-26,THRMHD,3663000,1
45,2018-08-01,2018-08-30,MHDTHR,3663000,1
46,2018-08-01,2018-09-02,THRMHD,3663000,1
47,2018-08-01,2018-09-06,MHDTHR,3663000,1
48,2018-08-01,2018-09-06,THRMHD,3663000,1
49,2018-08-01,2018-09-09,MHDTHR,3663000,1
50,2018-08-01,2018-09-09,THRMHD,3663000,1
51,2018-08-01,2018-09-13,MHDTHR,3663000,1
52,2018-08-01,2018-09-13,THRMHD,3663000,1
53,2018-08-01,2018-09-16,MHDTHR,3663000,1
54,2018-08-01,2018-09-19,MHDTHR,3663000,1
55,2018-08-01,2018-09-20,MHDTHR,3663000,1
56,2018-08-01,2018-09-20,THRMHD,3663000,1
57,2018-08-01,2018-09-21,MHDTHR,3663000,1
58,2018-08-01,2018-09-23,THRMHD,3663000,1
59,2018-08-04,2018-08-16,MHDTHR,2624000,1
60,2018-08-06,2018-08-26,MHDTHR,2826000,1
61,2018-08-06,2018-08-26,THRMHD,2826000,1
62,2018-08-12,2018-08-21,MHDTHR,3663000,1
63,2018-08-13,2018-08-22,THRMHD,4744000,1
64,2018-08-14,2018-08-21,MHDTHR,3663000,1
65,2018-08-15,2018-08-22,MHDTHR,4024000,1
66,2018-08-15,2018-08-23,MHDTHR,4024000,1
67,2018-08-15,2018-08-23,THRMHD,4024000,1
68,2018-08-15,2018-08-24,MHDTHR,5465000,1
69,2018-08-15,2018-08-24,THRMHD,4024000,1
70,2018-08-15,2018-08-25,THRMHD,4024000,1
71,2018-08-15,2018-08-27,MHDTHR,5465000,1
72,2018-08-15,2018-08-28,MHDTHR,5465000,1
73,2018-08-15,2018-08-28,THRMHD,5465000,1
74,2018-08-15,2018-08-29,MHDTHR,5465000,1
75,2018-08-15,2018-08-30,MHDTHR,5465000,1
76,2018-08-16,2018-08-24,THRMHD,3378000,1
77,2018-08-16,2018-08-25,THRMHD,3378000,1
78,2018-08-16,2018-08-26,THRMHD,4024000,1
79,2018-08-16,2018-08-27,MHDTHR,4384000,1
80,2018-08-16,2018-08-27,THRMHD,4024000,1
81,2018-08-16,2018-08-28,MHDTHR,4384000,1
82,2018-08-16,2018-08-28,THRMHD,4024000,1
83,2018-08-16,2018-08-29,MHDTHR,4024000,1
84,2018-08-16,2018-08-30,MHDTHR,4024000,1
85,2018-08-16,2018-08-30,THRMHD,4024000,1
86,2018-08-16,2018-08-31,MHDTHR,4024000,1
87,2018-08-16,2018-08-31,THRMHD,4024000,1
88,2018-08-16,2018-09-01,THRMHD,4024000,1
89,2018-08-17,2018-09-01,THRMHD,4024000,1
90,2018-08-17,2018-09-02,THRMHD,4024000,1
91,2018-08-18,2018-08-23,THRMHD,4024000,1
92,2018-08-18,2018-08-24,MHDTHR,4024000,1
93,2018-08-18,2018-08-24,THRMHD,3378000,1
94,2018-08-18,2018-08-25,THRMHD,3378000,1
95,2018-08-18,2018-08-26,THRMHD,3378000,1
96,2018-08-18,2018-08-27,THRMHD,4744000,1
97,2018-08-19,2018-08-23,THRMHD,3663000,1
98,2018-08-19,2018-08-27,THRMHD,3378000,1
99,2018-08-19,2018-08-28,THRMHD,3663000,1
100,2018-08-19,2018-08-29,MHDTHR,3663000,1
101,2018-08-19,2018-08-30,MHDTHR,3378000,1
102,2018-08-19,2018-09-01,MHDTHR,4744000,1
103,2018-08-19,2018-09-01,THRMHD,3378000,1
104,2018-08-20,2018-08-20,MHDTHR,3176000,1
105,2018-08-20,2018-08-21,MHDTHR,4024000,1
107,2018-08-20,2018-08-21,THRMHD,5105000,1
109,2018-08-20,2018-08-22,MHDTHR,3378000,1
110,2018-08-20,2018-08-24,THRMHD,4024000,1
111,2018-08-20,2018-08-25,MHDTHR,5105000,1
112,2018-08-20,2018-08-25,THRMHD,4024000,1
113,2018-08-20,2018-08-26,MHDTHR,6356000,1
114,2018-08-20,2018-09-02,THRMHD,4024000,1
115,2018-08-21,2018-08-21,MHDTHR,-1,1
118,2018-08-21,2018-08-22,MHDTHR,-1,1
119,2018-08-21,2018-08-22,THRMHD,5465000,1
120,2018-08-21,2018-08-23,MHDTHR,-1,1
121,2018-08-21,2018-08-23,THRMHD,-1,1
122,2018-08-21,2018-08-24,MHDTHR,4024000,1
123,2018-08-21,2018-08-24,THRMHD,-1,1
124,2018-08-21,2018-08-25,MHDTHR,6356000,1
125,2018-08-21,2018-08-25,THRMHD,-1,1
126,2018-08-21,2018-08-27,THRMHD,3176000,1
127,2018-08-21,2018-08-28,MHDTHR,4024000,1
128,2018-08-21,2018-09-02,MHDTHR,4024000,1
129,2018-08-21,2018-09-02,THRMHD,3378000,1
130,2018-08-21,2018-09-03,MHDTHR,4024000,1
131,2018-08-21,2018-09-03,THRMHD,4024000,1
132,2018-08-22,2018-08-22,THRMHD,3176000,1
133,2018-08-22,2018-08-23,MHDTHR,-1,1
134,2018-08-22,2018-08-23,THRMHD,-1,1
135,2018-08-22,2018-08-24,MHDTHR,-1,1
136,2018-08-22,2018-09-03,MHDTHR,6356000,1
137,2018-08-22,2018-09-04,MHDTHR,3663000,1
138,2018-08-22,2018-09-04,THRMHD,4024000,1
139,2018-08-22,2018-09-05,MHDTHR,4024000,1
140,2018-08-22,2018-09-10,THRMHD,6356000,1
141,2018-08-22,2018-09-17,THRMHD,6356000,1
142,2018-08-23,2018-08-23,MHDTHR,2275000,1
143,2018-08-23,2018-08-24,MHDTHR,3176000,1
144,2018-08-23,2018-08-24,THRMHD,2826000,1
145,2018-08-23,2018-09-02,THRMHD,3378000,1
146,2018-08-24,2018-08-25,MHDTHR,4744000,1
147,2018-08-25,2018-08-26,MHDTHR,4744000,1
148,2018-08-25,2018-08-26,THRMHD,3663000,1
149,2018-08-25,2018-08-27,MHDTHR,4384000,1
